nohup: ignoring input
Building prefix dict from the default dictionary ...
Loading model from cache /tmp/jieba.cache
Loading model cost 0.777 seconds.
Prefix dict has been built successfully.
TextClassifyModel(
  (token_emb_layer): TokenEmbeddingModule(
    (emb): Embedding(4707, 128)
  )
  (seq_feature_extract_layer): LSTMSeqFeatureExtractModule(
    (rnn_layer): LSTM(128, 256, num_layers=2, batch_first=True, bidirectional=True)
  )
  (classify_decision_layer): MLPModule(
    (layers): Sequential(
      (0): FCModule(
        (linear): Linear(in_features=512, out_features=256, bias=True)
        (act): ReLU()
        (dropout): Dropout(p=0.1, inplace=False)
      )
      (1): FCModule(
        (linear): Linear(in_features=256, out_features=128, bias=True)
        (act): ReLU()
        (dropout): Dropout(p=0.1, inplace=False)
      )
      (2): FCModule(
        (linear): Linear(in_features=128, out_features=12, bias=True)
        (act): Identity()
        (dropout): Identity()
      )
    )
  )
)
Epoch:0 Train Batch:0  Loss:2.476 Accuracy:0.062
Epoch:0 Train Batch:10  Loss:2.190 Accuracy:0.188
Epoch:0 Train Batch:20  Loss:2.254 Accuracy:0.250
Epoch:0 Train Batch:30  Loss:2.234 Accuracy:0.188
Epoch:0 Train Batch:40  Loss:2.306 Accuracy:0.438
Epoch:0 Train Batch:50  Loss:1.915 Accuracy:0.312
Epoch:0 Train Batch:60  Loss:1.364 Accuracy:0.562
Epoch:0 Train Batch:70  Loss:1.629 Accuracy:0.438
Epoch:0 Train Batch:80  Loss:1.770 Accuracy:0.438
Epoch:0 Train Batch:90  Loss:1.224 Accuracy:0.562
Epoch:0 Train Batch:100  Loss:1.396 Accuracy:0.438
Epoch:0 Train Batch:110  Loss:1.906 Accuracy:0.312
Epoch:0 Train Batch:120  Loss:1.483 Accuracy:0.438
Epoch:0 Train Batch:130  Loss:0.892 Accuracy:0.625
Epoch:0 Train Batch:140  Loss:1.488 Accuracy:0.312
Epoch:0 Train Batch:150  Loss:2.342 Accuracy:0.312
Epoch:0 Train Batch:160  Loss:1.407 Accuracy:0.438
Epoch:0 Train Batch:170  Loss:1.669 Accuracy:0.562
Epoch:0 Train Batch:180  Loss:1.226 Accuracy:0.500
Epoch:0 Train Batch:190  Loss:0.796 Accuracy:0.688
Epoch:0 Train Batch:200  Loss:0.754 Accuracy:0.750
Epoch:0 Train Batch:210  Loss:0.655 Accuracy:0.750
Epoch:0 Train Batch:220  Loss:1.291 Accuracy:0.625
Epoch:0 Train Batch:230  Loss:0.901 Accuracy:0.688
Epoch:0 Train Batch:240  Loss:0.659 Accuracy:0.688
Epoch:0 Train Batch:250  Loss:0.982 Accuracy:0.562
Epoch:0 Train Batch:260  Loss:0.887 Accuracy:0.625
Epoch:0 Train Batch:270  Loss:0.533 Accuracy:1.000
Epoch:0 Train Batch:280  Loss:1.075 Accuracy:0.688
Epoch:0 Train Batch:290  Loss:1.044 Accuracy:0.625
Epoch:0 Train Batch:300  Loss:1.226 Accuracy:0.500
Epoch:0 Train Batch:310  Loss:0.666 Accuracy:0.750
Epoch:0 Train Batch:320  Loss:0.546 Accuracy:0.812
Epoch:0 Train Batch:330  Loss:1.005 Accuracy:0.625
Epoch:0 Train Batch:340  Loss:0.664 Accuracy:0.750
Epoch:0 Train Batch:350  Loss:0.740 Accuracy:0.750
Epoch:0 Train Batch:360  Loss:0.575 Accuracy:0.812
Epoch:0 Train Batch:370  Loss:1.276 Accuracy:0.500
Epoch:0 Train Batch:380  Loss:1.167 Accuracy:0.562
Epoch:0 Train Batch:390  Loss:1.063 Accuracy:0.625
Epoch:0 Train Batch:400  Loss:1.039 Accuracy:0.812
Epoch:0 Train Batch:410  Loss:0.749 Accuracy:0.750
Epoch:0 Train Batch:420  Loss:1.399 Accuracy:0.625
Epoch:0 Train Batch:430  Loss:0.812 Accuracy:0.750
Epoch:0 Train Batch:440  Loss:0.843 Accuracy:0.688
Epoch:0 Train Batch:450  Loss:0.613 Accuracy:0.750
Epoch:0 Train Batch:460  Loss:0.756 Accuracy:0.875
Epoch:0 Train Batch:470  Loss:0.463 Accuracy:0.938
Epoch:0 Train Batch:480  Loss:0.416 Accuracy:0.938
Epoch:0 Train Batch:490  Loss:0.634 Accuracy:0.875
Epoch:0 Train Batch:500  Loss:0.354 Accuracy:0.938
Epoch:0 Train Batch:510  Loss:0.613 Accuracy:0.875
Epoch:0 Train Batch:520  Loss:1.287 Accuracy:0.688
Epoch:0 Train Batch:530  Loss:0.670 Accuracy:0.688
Epoch:0 Train Batch:540  Loss:0.798 Accuracy:0.875
Epoch:0 Train Batch:550  Loss:0.889 Accuracy:0.625
Epoch:0 Train Batch:560  Loss:1.211 Accuracy:0.625
Epoch:0 Train Batch:570  Loss:0.741 Accuracy:0.875
Epoch:0 Train Batch:580  Loss:0.668 Accuracy:0.812
Epoch:0 Train Batch:590  Loss:0.393 Accuracy:0.875
Epoch:0 Train Batch:600  Loss:0.400 Accuracy:0.875
Epoch:0 Train Batch:610  Loss:0.744 Accuracy:0.750
Epoch:0 Train Batch:620  Loss:0.279 Accuracy:0.938
Epoch:0 Train Batch:630  Loss:0.710 Accuracy:0.750
Epoch:0 Train Batch:640  Loss:0.511 Accuracy:0.875
Epoch:0 Train Batch:650  Loss:0.343 Accuracy:0.875
Epoch:0 Train Batch:660  Loss:0.452 Accuracy:0.812
Epoch:0 Train Batch:670  Loss:0.781 Accuracy:0.750
Epoch:0 Train Batch:680  Loss:0.283 Accuracy:1.000
Epoch:0 Eval Batch:0  Loss:1.152 Accuracy:0.750
Epoch:0 Eval Batch:10  Loss:0.764 Accuracy:0.812
Epoch:0 Eval Batch:20  Loss:0.546 Accuracy:0.812
Epoch:0 Eval Batch:30  Loss:0.513 Accuracy:0.844
Epoch:1 Train Batch:690  Loss:0.272 Accuracy:0.938
Epoch:1 Train Batch:700  Loss:0.622 Accuracy:0.750
Epoch:1 Train Batch:710  Loss:0.096 Accuracy:1.000
Epoch:1 Train Batch:720  Loss:0.668 Accuracy:0.812
Epoch:1 Train Batch:730  Loss:0.514 Accuracy:0.875
Epoch:1 Train Batch:740  Loss:1.504 Accuracy:0.500
Epoch:1 Train Batch:750  Loss:0.728 Accuracy:0.812
Epoch:1 Train Batch:760  Loss:0.480 Accuracy:0.875
Epoch:1 Train Batch:770  Loss:0.496 Accuracy:0.875
Epoch:1 Train Batch:780  Loss:0.408 Accuracy:0.875
Epoch:1 Train Batch:790  Loss:0.824 Accuracy:0.688
Epoch:1 Train Batch:800  Loss:2.128 Accuracy:0.625
Epoch:1 Train Batch:810  Loss:0.062 Accuracy:1.000
Epoch:1 Train Batch:820  Loss:0.712 Accuracy:0.875
Epoch:1 Train Batch:830  Loss:1.128 Accuracy:0.562
Epoch:1 Train Batch:840  Loss:0.614 Accuracy:0.812
Epoch:1 Train Batch:850  Loss:0.375 Accuracy:0.812
Epoch:1 Train Batch:860  Loss:0.492 Accuracy:0.938
Epoch:1 Train Batch:870  Loss:0.192 Accuracy:1.000
Epoch:1 Train Batch:880  Loss:0.416 Accuracy:0.875
Epoch:1 Train Batch:890  Loss:0.546 Accuracy:0.875
Epoch:1 Train Batch:900  Loss:0.320 Accuracy:0.875
Epoch:1 Train Batch:910  Loss:0.573 Accuracy:0.875
Epoch:1 Train Batch:920  Loss:1.002 Accuracy:0.750
Epoch:1 Train Batch:930  Loss:0.108 Accuracy:0.938
Epoch:1 Train Batch:940  Loss:0.878 Accuracy:0.875
Epoch:1 Train Batch:950  Loss:0.438 Accuracy:0.875
Epoch:1 Train Batch:960  Loss:0.274 Accuracy:0.938
Epoch:1 Train Batch:970  Loss:1.623 Accuracy:0.625
Epoch:1 Train Batch:980  Loss:0.710 Accuracy:0.812
Epoch:1 Train Batch:990  Loss:0.409 Accuracy:0.812
Epoch:1 Train Batch:1000  Loss:0.686 Accuracy:0.812
Epoch:1 Train Batch:1010  Loss:0.579 Accuracy:0.812
Epoch:1 Train Batch:1020  Loss:0.488 Accuracy:0.875
Epoch:1 Train Batch:1030  Loss:0.390 Accuracy:0.938
Epoch:1 Train Batch:1040  Loss:0.485 Accuracy:0.875
Epoch:1 Train Batch:1050  Loss:0.147 Accuracy:0.938
Epoch:1 Train Batch:1060  Loss:0.413 Accuracy:0.812
Epoch:1 Train Batch:1070  Loss:0.224 Accuracy:0.875
Epoch:1 Train Batch:1080  Loss:0.803 Accuracy:0.750
Epoch:1 Train Batch:1090  Loss:0.090 Accuracy:1.000
Epoch:1 Train Batch:1100  Loss:0.348 Accuracy:0.812
Epoch:1 Train Batch:1110  Loss:0.855 Accuracy:0.812
Epoch:1 Train Batch:1120  Loss:0.339 Accuracy:0.812
Epoch:1 Train Batch:1130  Loss:1.031 Accuracy:0.750
Epoch:1 Train Batch:1140  Loss:0.662 Accuracy:0.750
Epoch:1 Train Batch:1150  Loss:0.776 Accuracy:0.812
Epoch:1 Train Batch:1160  Loss:0.194 Accuracy:0.938
Epoch:1 Train Batch:1170  Loss:0.732 Accuracy:0.875
Epoch:1 Train Batch:1180  Loss:0.068 Accuracy:1.000
Epoch:1 Train Batch:1190  Loss:0.657 Accuracy:0.688
Epoch:1 Train Batch:1200  Loss:0.017 Accuracy:1.000
Epoch:1 Train Batch:1210  Loss:0.566 Accuracy:0.875
Epoch:1 Train Batch:1220  Loss:0.350 Accuracy:0.938
Epoch:1 Train Batch:1230  Loss:1.464 Accuracy:0.688
Epoch:1 Train Batch:1240  Loss:0.495 Accuracy:0.812
Epoch:1 Train Batch:1250  Loss:0.708 Accuracy:0.750
Epoch:1 Train Batch:1260  Loss:0.380 Accuracy:0.938
Epoch:1 Train Batch:1270  Loss:0.679 Accuracy:0.750
Epoch:1 Train Batch:1280  Loss:0.066 Accuracy:1.000
Epoch:1 Train Batch:1290  Loss:0.328 Accuracy:0.875
Epoch:1 Train Batch:1300  Loss:0.272 Accuracy:0.875
Epoch:1 Train Batch:1310  Loss:0.496 Accuracy:0.812
Epoch:1 Train Batch:1320  Loss:0.343 Accuracy:0.875
Epoch:1 Train Batch:1330  Loss:0.349 Accuracy:0.875
Epoch:1 Train Batch:1340  Loss:0.163 Accuracy:0.938
Epoch:1 Train Batch:1350  Loss:0.381 Accuracy:0.938
Epoch:1 Train Batch:1360  Loss:1.542 Accuracy:0.812
Epoch:1 Eval Batch:40  Loss:0.549 Accuracy:0.812
Epoch:1 Eval Batch:50  Loss:0.341 Accuracy:0.875
Epoch:1 Eval Batch:60  Loss:0.328 Accuracy:0.906
Epoch:1 Eval Batch:70  Loss:0.667 Accuracy:0.812
Epoch:2 Train Batch:1370  Loss:0.578 Accuracy:0.750
Epoch:2 Train Batch:1380  Loss:0.481 Accuracy:0.812
Epoch:2 Train Batch:1390  Loss:0.574 Accuracy:0.875
Epoch:2 Train Batch:1400  Loss:0.427 Accuracy:0.812
Epoch:2 Train Batch:1410  Loss:0.077 Accuracy:0.938
Epoch:2 Train Batch:1420  Loss:0.142 Accuracy:1.000
Epoch:2 Train Batch:1430  Loss:0.469 Accuracy:0.875
Epoch:2 Train Batch:1440  Loss:0.145 Accuracy:1.000
Epoch:2 Train Batch:1450  Loss:0.809 Accuracy:0.875
Epoch:2 Train Batch:1460  Loss:0.168 Accuracy:0.938
Epoch:2 Train Batch:1470  Loss:0.447 Accuracy:0.938
Epoch:2 Train Batch:1480  Loss:0.130 Accuracy:1.000
Epoch:2 Train Batch:1490  Loss:0.451 Accuracy:0.750
Epoch:2 Train Batch:1500  Loss:0.184 Accuracy:0.938
Epoch:2 Train Batch:1510  Loss:0.310 Accuracy:0.938
Epoch:2 Train Batch:1520  Loss:0.292 Accuracy:0.938
Epoch:2 Train Batch:1530  Loss:0.250 Accuracy:0.938
Epoch:2 Train Batch:1540  Loss:0.715 Accuracy:0.938
Epoch:2 Train Batch:1550  Loss:0.397 Accuracy:0.938
Epoch:2 Train Batch:1560  Loss:0.160 Accuracy:0.938
Epoch:2 Train Batch:1570  Loss:0.202 Accuracy:0.938
Epoch:2 Train Batch:1580  Loss:0.206 Accuracy:0.938
Epoch:2 Train Batch:1590  Loss:0.469 Accuracy:0.875
Epoch:2 Train Batch:1600  Loss:0.608 Accuracy:0.812
Epoch:2 Train Batch:1610  Loss:0.271 Accuracy:0.875
Epoch:2 Train Batch:1620  Loss:0.193 Accuracy:0.875
Epoch:2 Train Batch:1630  Loss:0.227 Accuracy:0.938
Epoch:2 Train Batch:1640  Loss:0.273 Accuracy:0.938
Epoch:2 Train Batch:1650  Loss:0.208 Accuracy:0.938
Epoch:2 Train Batch:1660  Loss:0.051 Accuracy:1.000
Epoch:2 Train Batch:1670  Loss:0.344 Accuracy:0.875
Epoch:2 Train Batch:1680  Loss:0.113 Accuracy:0.938
Epoch:2 Train Batch:1690  Loss:0.543 Accuracy:0.812
Epoch:2 Train Batch:1700  Loss:0.103 Accuracy:1.000
Epoch:2 Train Batch:1710  Loss:0.214 Accuracy:0.938
Epoch:2 Train Batch:1720  Loss:0.384 Accuracy:0.875
Epoch:2 Train Batch:1730  Loss:0.888 Accuracy:0.688
Epoch:2 Train Batch:1740  Loss:0.302 Accuracy:0.938
Epoch:2 Train Batch:1750  Loss:0.343 Accuracy:0.875
Epoch:2 Train Batch:1760  Loss:0.535 Accuracy:0.812
Epoch:2 Train Batch:1770  Loss:0.033 Accuracy:1.000
Epoch:2 Train Batch:1780  Loss:0.702 Accuracy:0.875
Epoch:2 Train Batch:1790  Loss:0.462 Accuracy:0.750
Epoch:2 Train Batch:1800  Loss:0.254 Accuracy:0.875
Epoch:2 Train Batch:1810  Loss:0.095 Accuracy:1.000
Epoch:2 Train Batch:1820  Loss:0.248 Accuracy:0.875
Epoch:2 Train Batch:1830  Loss:0.053 Accuracy:1.000
Epoch:2 Train Batch:1840  Loss:0.068 Accuracy:1.000
Epoch:2 Train Batch:1850  Loss:0.555 Accuracy:0.875
Epoch:2 Train Batch:1860  Loss:0.325 Accuracy:0.875
Epoch:2 Train Batch:1870  Loss:0.586 Accuracy:0.812
Epoch:2 Train Batch:1880  Loss:0.460 Accuracy:0.875
Epoch:2 Train Batch:1890  Loss:0.408 Accuracy:0.875
Epoch:2 Train Batch:1900  Loss:0.835 Accuracy:0.750
Epoch:2 Train Batch:1910  Loss:0.095 Accuracy:0.938
Epoch:2 Train Batch:1920  Loss:0.320 Accuracy:0.875
Epoch:2 Train Batch:1930  Loss:0.223 Accuracy:0.938
Epoch:2 Train Batch:1940  Loss:0.352 Accuracy:0.875
Epoch:2 Train Batch:1950  Loss:0.279 Accuracy:0.938
Epoch:2 Train Batch:1960  Loss:0.314 Accuracy:0.875
Epoch:2 Train Batch:1970  Loss:0.721 Accuracy:0.750
Epoch:2 Train Batch:1980  Loss:0.232 Accuracy:0.938
Epoch:2 Train Batch:1990  Loss:0.643 Accuracy:0.750
Epoch:2 Train Batch:2000  Loss:0.625 Accuracy:0.688
Epoch:2 Train Batch:2010  Loss:0.221 Accuracy:0.938
Epoch:2 Train Batch:2020  Loss:0.626 Accuracy:0.812
Epoch:2 Train Batch:2030  Loss:0.180 Accuracy:0.938
Epoch:2 Train Batch:2040  Loss:0.183 Accuracy:0.938
Epoch:2 Eval Batch:80  Loss:1.050 Accuracy:0.750
Epoch:2 Eval Batch:90  Loss:0.881 Accuracy:0.781
Epoch:2 Eval Batch:100  Loss:0.566 Accuracy:0.844
Epoch:2 Eval Batch:110  Loss:0.861 Accuracy:0.750
Epoch:3 Train Batch:2050  Loss:0.021 Accuracy:1.000
Epoch:3 Train Batch:2060  Loss:0.307 Accuracy:0.938
Epoch:3 Train Batch:2070  Loss:0.242 Accuracy:0.938
Epoch:3 Train Batch:2080  Loss:0.438 Accuracy:0.875
Epoch:3 Train Batch:2090  Loss:0.722 Accuracy:0.688
Epoch:3 Train Batch:2100  Loss:0.139 Accuracy:0.938
Epoch:3 Train Batch:2110  Loss:0.197 Accuracy:0.938
Epoch:3 Train Batch:2120  Loss:0.407 Accuracy:0.875
Epoch:3 Train Batch:2130  Loss:0.142 Accuracy:0.938
Epoch:3 Train Batch:2140  Loss:0.092 Accuracy:1.000
Epoch:3 Train Batch:2150  Loss:0.027 Accuracy:1.000
Epoch:3 Train Batch:2160  Loss:0.273 Accuracy:0.875
Epoch:3 Train Batch:2170  Loss:0.520 Accuracy:0.875
Epoch:3 Train Batch:2180  Loss:0.303 Accuracy:0.938
Epoch:3 Train Batch:2190  Loss:0.002 Accuracy:1.000
Epoch:3 Train Batch:2200  Loss:0.643 Accuracy:0.875
Epoch:3 Train Batch:2210  Loss:0.358 Accuracy:0.875
Epoch:3 Train Batch:2220  Loss:0.223 Accuracy:0.875
Epoch:3 Train Batch:2230  Loss:0.285 Accuracy:0.938
Epoch:3 Train Batch:2240  Loss:0.509 Accuracy:0.812
Epoch:3 Train Batch:2250  Loss:0.331 Accuracy:0.875
Epoch:3 Train Batch:2260  Loss:0.199 Accuracy:0.938
